phish_id,host,url,submission_time,target,online,httpstatus,phish_detail_url
12431,disqualification-exclusive.suroot.com,http://disqualification-exclusive.suroot.com/starten1/nummer-verkaufsrichtlinien/Sstornierungs-management/,2017-12-27 06:28:14,Apple,dnserror,0,http://melani.admin.ch/
12429,www.amazn.de-sicherheit-kontrolle4.bid,https://www.amazn.de-sicherheit-kontrolle4.bid/service/abteilung/nutzer/,2017-12-26 09:47:32,Amazon,dnserror,0,http://melani.admin.ch/
12428,interfaithchaplaincy.ca,https://interfaithchaplaincy.ca/wp-admin/css/colors/sunrise/2017/AppleStore-germany-autriche-suisse/,2017-12-26 09:47:12,Apple,offline,404,http://melani.admin.ch/
12427,www.pagmotoring.com,http://www.pagmotoring.com/instal.php,2017-12-26 09:47:01,Apple,offline,404,http://melani.admin.ch/
12426,ferpalinfrastructure.com,https://ferpalinfrastructure.com/wp-content/themes/twentyeleven/inc/images/end/,2017-12-26 09:46:51,Apple,offline,404,http://melani.admin.ch/
12425,ferpaldev.com,https://ferpaldev.com/intex.html,2017-12-26 09:46:40,Apple,online,200,http://melani.admin.ch/
12424,dsdsfs09qw8vks3dq6nlr.saarthifoundation.com,http://dsdsfs09qw8vks3dq6nlr.saarthifoundation.com/,2017-12-26 09:43:52,Visa,dnserror,0,http://melani.admin.ch/
12423,www.whatsapp.com.medicoinazienda.it,http://www.whatsapp.com.medicoinazienda.it/.+++/1/2/,2017-12-26 09:43:10,Visa,offline,404,http://melani.admin.ch/
12421,escoltavip.web981.uni5.net,http://escoltavip.web981.uni5.net/8974c2d55c426c7e918789bcfdcc3020/,2017-12-25 11:00:34,UBS,offline,404,http://melani.admin.ch/
12420,secure209.inmotionhosting.com,https://secure209.inmotionhosting.com/~polka25/poste/poste/post/,2017-12-25 07:16:19,Schweizerische Post,offline,404,http://melani.admin.ch/
12419,kalustekauppa24.fi,http://kalustekauppa24.fi/656e4a331cc17a7aa033d4d98ac699fc/,2017-12-25 07:16:09,UBS,online,301,http://melani.admin.ch/
12418,rafisegal.com,http://rafisegal.com/wp-includes/js/tinymce/skins/wordpress/images/default/,2017-12-25 07:15:56,Apple,online,200,http://melani.admin.ch/
12417,ihr-schutz.com,https://ihr-schutz.com/sichern/security-check.html,2017-12-25 07:15:26,UBS,offline,500,http://melani.admin.ch/
12416,duzicialperemlak.com,http://duzicialperemlak.com/cc1ea3977d14118ad1d6afebf19d73ea/,2017-12-25 07:15:11,UBS,offline,403,http://melani.admin.ch/
12415,www.mopilgazlar.com.tr,http://www.mopilgazlar.com.tr/2189a1cdf8c190da521e0df277f93ff3/,2017-12-24 21:04:15,UBS,offline,404,http://melani.admin.ch/
12414,meine-sicherheit.ch,https://meine-sicherheit.ch/,2017-12-24 21:04:10,UBS,dnserror,0,http://melani.admin.ch/
