subnet_address;subnet_mask;subnet_last;subnet_gw;subnet_desc;subnet_domain;subnet_org;subnet_area;subnet_vlan;subnet_vdp;subnet_zone;subnet_color;subnet_sec;subnet_poll;subnet_alarm;subnet_report;date_added;date_seen;date_checked
010.162.053.000;255.255.255.0;010.162.053.255;010.162.053.254;Kaltbrunn IPT;zh.post.ch;RSP-Zuerich;postnet;0680;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:51
010.162.054.000;255.255.255.0;010.162.054.255;010.162.054.254;Kaltbrunn Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:59
010.162.056.000;255.255.255.252;010.162.056.003;undef;Buelach Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:01
010.162.056.008;255.255.255.252;010.162.056.011;undef;Buelach Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;2018-01-19 01:30:02;2019-02-08 01:40:12;2019-02-07 16:17:01
010.162.056.016;255.255.255.240;010.162.056.031;undef;Buelach Transit-Sunrise;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;---;1;1;1;2018-09-08 01:30:04;2019-02-08 01:40:12;2019-02-07 16:17:02
010.162.056.192;255.255.255.240;010.162.056.207;010.162.056.206;Buelach Zuko;zh.post.ch;RSP-Zuerich;postnet;0646;post.ch;undef;-;---;1;1;1;2017-09-09 01:30:03;2019-02-08 01:40:12;2019-02-07 16:17:02
010.162.057.000;255.255.255.0;010.162.057.255;010.162.057.254;Buelach IPT;zh.post.ch;RSP-Zuerich;postnet;0680;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:02
010.162.058.000;255.255.255.0;010.162.058.255;010.162.058.254;Buelach Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;0;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:09
010.162.059.000;255.255.255.240;010.162.059.015;010.162.059.014;Buelach AP;zh.post.ch;RSP-Zuerich;postnet;0610;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:11
010.162.060.000;255.255.255.252;010.162.060.003;undef;Zuerich ETH ext. POM Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:11
