Liste;No;unknown;Act;Domain;;;;;
BcAuthWhitelist2;1551799275;unknown;Add;e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e;;;;
BcAuthWhitelist2;1551799275;unknown;Add;e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e;;;;
BcAuthWhitelist2;1551799341;unknown;Add;e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e;;;;
BcNoSSLIntercept;1551799341;unknown;Add;e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e;;;;
BcAuthWhitelist2;1551799275;unknown;Add;test-e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e-tset;;;;
BcAuthWhitelist2;1551799275;unknown;Add;test-e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e-tset;;;;
BcAuthWhitelist2;1551799341;unknown;Add;test-e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e-tset;;;;
BcNoSSLIntercept;1551799341;unknown;Add;test-e-trading.postfinance.ch;hc.ecnaniftsop.gnidart-e-tset;;;;
BcAuthWhitelist2;1551799275;unknown;Add;cardservices.postfinance.ch;hc.ecnaniftsop.secivresdrac;;;;
BcAuthWhitelist2;1551799275;unknown;Add;smartbusiness.postfinance.ch;hc.ecnaniftsop.ssenisubtrams;;;;
BcAuthWhitelist2;1551799275;unknown;Add;smartbusiness.postfinance.ch;hc.ecnaniftsop.ssenisubtrams;;;;
BcAuthWhitelist2;1551799341;unknown;Add;smartbusiness.postfinance.ch;hc.ecnaniftsop.ssenisubtrams;;;;
BcNoSSLIntercept;1551799341;unknown;Add;smartbusiness.postfinance.ch;hc.ecnaniftsop.ssenisubtrams;;;;
BcAuthWhitelist2;1551799275;unknown;Add;benefit.postfinance.ch;hc.ecnaniftsop.tifeneb;;;;
BcAuthWhitelist2;1551799275;unknown;Add;benefit.postfinance.ch;hc.ecnaniftsop.tifeneb;;;;
BcAuthWhitelist2;1551799275;unknown;Add;e-payment.postfinance.ch;hc.ecnaniftsop.tnemyap-e;;;;
