date,time,duration,in_bytes,out_bytes
2018-02-15,05:46:00,21134.3,407225523,8154408
2018-02-15,05:47:00,22856.3,582614098,8195984
2018-02-15,05:48:00,14653.8,195434092,9984607
2018-02-15,05:49:00,14303.8,244458008,8896387
2018-02-15,05:50:00,22621.3,185288678,9172417
2018-02-15,05:51:00,23174,188825849,11407338
2018-02-15,05:52:00,17387,217064175,9601443
2018-02-15,05:53:00,18112.9,168482609,7101654
2018-02-15,05:54:00,13801.2,269980158,9644656
2018-02-15,05:55:00,19608.5,339016832,8942239
2018-02-15,05:56:00,14489.4,353308400,8871541
2018-02-15,05:57:00,20844.1,263562939,10546781
2018-02-15,05:58:00,20484.2,300607574,12722124
2018-02-15,05:59:00,17583.7,337511523,8709027
2018-02-15,06:00:00,26585.2,297185305,8795452
2018-02-15,06:01:00,22182.8,315259290,8082787
2018-02-15,06:02:00,39668.9,277247389,6995720
2018-02-15,06:03:00,27786.5,292716896,8181859
2018-02-15,06:04:00,16500.9,456460506,9465932
2018-02-15,06:05:00,13275.9,318724187,10230897
2018-02-15,06:06:00,17406.7,338721276,10911744
2018-02-15,06:07:00,14272.8,345103343,10025416
2018-02-15,06:08:00,18107.9,364531838,10475137
2018-02-15,06:09:00,13796,372089184,13198730
2018-02-15,06:10:00,12875.7,335878961,10360945
2018-02-15,06:11:00,13596.3,401834319,13294524
2018-02-15,06:12:00,14851.8,602555135,13405983
2018-02-15,06:13:00,11366.8,594011826,17665792
2018-02-15,06:14:00,13967.3,402632916,15829565
2018-02-15,06:15:00,13777.3,510370435,20543592
2018-02-15,06:16:00,18733.6,496408486,13742944
2018-02-15,06:17:00,15123,619895631,13449206
2018-02-15,06:18:00,11387.4,428558775,17818309
2018-02-15,06:19:00,20938.4,478833065,14089882
2018-02-15,06:20:00,20852.7,410346003,15662101
2018-02-15,06:21:00,14081.4,547775120,23451364
2018-02-15,06:22:00,10847.1,474007379,15529750
2018-02-15,06:23:00,16838.5,475486451,14609156
2018-02-15,06:24:00,18687.3,557333886,14871946
2018-02-15,06:25:00,13929.8,487657361,19822202
2018-02-15,06:26:00,15522.8,516062993,28741534
2018-02-15,06:27:00,11102.4,554825067,22015364
2018-02-15,06:28:00,13347,579675171,20592113
2018-02-15,06:29:00,14058.9,524558544,18438403
2018-02-15,06:30:00,15137.2,686510107,17950063
2018-02-15,06:31:00,10898,601214617,21033274
2018-02-15,06:32:00,17550.9,529984094,20337216
2018-02-15,06:33:00,13377.4,520836050,18505760
2018-02-15,06:34:00,14628.2,631901868,20299140
2018-02-15,06:35:00,21558.6,547283641,19082220
2018-02-15,06:36:00,20347.7,437200889,18766012
2018-02-15,06:37:00,16286.2,445786853,22649259
2018-02-15,06:38:00,11936.9,594262075,25406064
2018-02-15,06:39:00,11217.5,852741014,20252893
2018-02-15,06:40:00,13000.7,537702520,23019441
2018-02-15,06:41:00,12204.6,576244737,18801604
2018-02-15,06:42:00,20458.6,559811146,28231209
2018-02-15,06:43:00,14966.4,510399974,24679995
2018-02-15,06:44:00,14428.3,681143180,24231281
2018-02-15,06:45:00,25891.8,636271401,19089135
2018-02-15,06:46:00,16669.7,552069754,20455744
2018-02-15,06:47:00,17058.4,512914099,21999008
2018-02-15,06:48:00,11476.9,620489081,34216451
2018-02-15,06:49:00,15335.9,625286639,21756220
2018-02-15,06:50:00,13687.8,576242327,23102722
2018-02-15,06:51:00,13494.7,671495981,25409968
2018-02-15,06:52:00,24956.1,822362017,22430793
2018-02-15,06:53:00,10562.3,646510069,20368825
2018-02-15,06:54:00,15169.9,680544404,21960430
2018-02-15,06:55:00,18976.3,817014730,24714155
2018-02-15,06:56:00,12515.9,801335963,29932425
2018-02-15,06:57:00,16313.7,796263772,22223322
